ESTIMACIONES Y PROYECCIONES DE LA POBLACIÓN DE CHILE, TOTAL PAÍS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POBLACIÓN SEGÚN SEXO Y EDAD SIMPLE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992-2070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
al 30 de junio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Año / Población;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo / Edad;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070
Ambos sexos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;13.770.793;13.991.127;14.206.429;14.414.046;14.613.776;14.809.841;15.001.623;15.185.799;15.365.623;15.543.565;15.715.924;15.882.092;16.041.612;16.198.348;16.356.738;16.516.863;16.682.228;16.855.484;17.030.393;17.204.567;17.380.597;17.559.507;17.749.360;17.954.875;18.190.964;18.460.529;18.754.494;19.040.037;19.235.540;19.391.613;19.581.575;19.756.365;19.904.328;20.036.669;20.150.948;20.252.145;20.342.246;20.421.403;20.489.812;20.546.653;20.590.711;20.621.533;20.639.005;20.643.490;20.635.825;20.617.132;20.588.655;20.551.753;20.508.117;20.459.180;20.405.521;20.347.272;20.284.551;20.217.414;20.145.968;20.070.235;19.990.194;19.905.775;19.816.858;19.723.225;19.624.629;19.520.801;19.411.448;19.296.388;19.175.470;19.048.653;18.916.047;18.777.806;18.634.210;18.485.577;18.332.247;18.174.541;18.012.787;17.847.299;17.678.364;17.506.235;17.331.111;17.153.173;16.972.558
0;293.902;288.505;284.318;277.750;271.344;266.397;261.296;255.469;250.668;248.176;242.902;236.773;232.064;230.036;230.876;235.365;242.398;248.227;250.343;248.018;244.498;241.928;245.635;247.132;238.131;226.046;221.564;217.189;203.168;186.883;184.638;182.720;165.411;149.695;139.882;134.718;131.576;128.613;125.825;123.200;120.722;118.385;116.221;114.396;113.071;112.218;111.639;111.144;110.731;110.401;110.162;110.016;109.958;109.957;109.983;109.992;109.924;109.694;109.217;108.401;107.193;105.560;103.495;101.029;98.256;95.293;92.249;89.212;86.269;83.488;80.909;78.560;76.463;74.623;73.038;71.686;70.547;69.588;68.790
1;299.028;293.166;287.843;283.721;277.219;270.949;266.062;260.933;255.157;250.372;247.867;242.612;236.472;231.770;229.780;230.647;235.156;242.197;248.045;250.185;247.926;244.507;242.028;245.939;248.008;239.728;228.145;223.681;218.487;204.530;188.883;186.164;183.985;166.768;150.934;141.022;135.760;132.516;129.457;126.577;123.853;121.266;118.819;116.547;114.619;113.200;112.269;111.632;111.102;110.675;110.339;110.095;109.944;109.880;109.874;109.896;109.902;109.830;109.597;109.117;108.299;107.090;105.455;103.390;100.923;98.150;95.187;92.145;89.108;86.167;83.386;80.809;78.461;76.365;74.525;72.941;71.590;70.451;69.492
2;301.493;298.844;293.015;287.695;283.595;277.159;270.898;265.985;260.857;255.085;250.308;247.819;242.563;236.426;231.730;229.745;230.610;235.130;242.199;248.070;250.275;248.098;244.766;242.504;247.018;249.825;242.087;230.571;225.233;220.096;206.853;190.770;187.773;185.655;168.308;152.349;142.316;136.928;133.566;130.402;127.411;124.567;121.857;119.289;116.901;114.871;113.365;112.368;111.692;111.146;110.712;110.368;110.117;109.958;109.889;109.877;109.895;109.897;109.820;109.583;109.100;108.280;107.068;105.431;103.365;100.898;98.124;95.161;92.119;89.082;86.142;83.361;80.785;78.437;76.342;74.502;72.918;71.568;70.429
3;295.398;301.403;298.776;292.954;287.649;283.561;277.112;270.835;265.928;260.823;255.067;250.314;247.837;242.580;236.441;231.745;229.761;230.631;235.181;242.279;248.209;250.496;248.399;245.274;243.622;248.895;252.280;244.644;232.229;226.940;222.555;208.885;192.533;189.599;187.340;169.858;153.765;143.595;138.081;134.608;131.329;128.214;125.242;122.406;119.721;117.226;115.104;113.532;112.494;111.801;111.247;110.805;110.454;110.196;110.033;109.958;109.941;109.953;109.950;109.869;109.629;109.143;108.319;107.106;105.469;103.401;100.932;98.159;95.197;92.155;89.118;86.178;83.399;80.823;78.475;76.380;74.540;72.956;71.606
4;282.980;295.399;301.400;298.752;292.934;287.654;283.576;277.116;270.832;265.938;260.850;255.103;250.350;247.878;242.620;236.475;231.774;229.801;230.702;235.279;242.431;248.432;250.794;248.913;246.397;245.495;251.358;254.862;246.325;233.959;229.443;224.663;210.734;194.434;191.352;188.949;171.329;155.096;144.796;139.170;135.582;132.178;128.935;125.837;122.882;120.088;117.504;115.314;113.700;112.646;111.945;111.382;110.932;110.575;110.313;110.143;110.063;110.039;110.048;110.041;109.957;109.714;109.226;108.400;107.185;105.545;103.477;101.008;98.235;95.274;92.232;89.195;86.255;83.476;80.901;78.554;76.459;74.619;73.035
5;270.321;283.002;295.399;301.387;298.749;292.953;287.686;283.599;277.129;270.862;265.981;260.891;255.147;250.405;247.925;242.667;236.529;231.831;229.890;230.817;235.443;242.670;248.739;251.307;250.022;248.250;247.938;253.935;256.553;248.053;236.459;231.558;226.527;212.650;196.201;192.975;190.430;172.670;156.309;145.897;140.156;136.446;132.915;129.547;126.330;123.269;120.386;117.733;115.504;113.874;112.811;112.102;111.533;111.077;110.714;110.444;110.269;110.185;110.157;110.162;110.151;110.064;109.818;109.327;108.501;107.284;105.644;103.575;101.106;98.333;95.372;92.331;89.295;86.355;83.576;81.001;78.654;76.559;74.720
6;261.253;270.340;282.999;295.403;301.402;298.771;292.992;287.722;283.634;277.177;270.914;266.033;260.949;255.206;250.460;247.978;242.712;236.582;231.919;230.003;230.980;235.670;242.967;249.232;252.371;251.815;250.623;250.441;255.584;258.263;250.518;238.542;233.399;228.415;214.391;197.798;194.432;191.745;173.857;157.388;146.865;141.003;137.168;133.516;130.032;126.712;123.563;120.613;117.922;115.676;114.038;112.968;112.252;111.676;111.213;110.845;110.571;110.391;110.302;110.271;110.272;110.259;110.169;109.920;109.428;108.600;107.382;105.741;103.672;101.203;98.432;95.471;92.430;89.394;86.454;83.675;81.101;78.754;76.659
